,|V|,|E|,Preordering ILP,Preordering ILP Gap,Preordering ILP T,Clustering ILP,Clustering ILP Gap,Clustering ILP T,Partial Ordering ILP,Partial Ordering ILP Gap,Partial Ordering ILP T,Successive ILPs,Successive ILPs Gap,Successive ILPs T,LP,LP T,LP+OCW,LP+OCW T,GDC,GDC T,GAI,GAI T,GDC+GAI,GDC+GAI T
21648994,82,1026,529.0,0.0,315.0292332172394,214.00000000000023,0.0,17.980949878692627,528.0,0.0056818181818181,500.01314640045166,257.0000000000002,0.0,18.98868751525879,543.6604480299646,1.711578607559204,542.1125294577007,4.465088844299316,482,0.0007634162902832,367,0.0151154994964599,504,0.0095195770263671
33868543,82,857,395.0,0.0329113924050632,500.0180509090424,209.9999999999999,0.0,6.612253189086914,390.0,0.0307692307692307,500.0213482379913,,,,431.5,0.3861327171325683,408.6195746316709,12.527395009994509,357,0.0007667541503906,283,0.0149006843566894,382,0.0063693523406982
55928029,82,731,405.0,0.0,4.141847372055054,174.0,0.0,0.5555262565612793,402.0,0.0,6.038772344589233,239.0,0.0,0.5917181968688965,411.8463354037267,0.3816790580749511,411.1226913660842,0.7941339015960693,347,0.0007498264312744,314,0.015073537826538,390,0.0100972652435302
87004822,82,671,363.0,0.0,1.1158065795898438,208.0,0.0,0.2371127605438232,349.0,0.0,4.084992170333862,257.0,0.0,0.3378274440765381,367.5613207547169,0.2239384651184082,367.4493051981472,0.338874340057373,312,0.0007548332214355,304,0.0139224529266357,345,0.0060811042785644
528575851,82,1659,843.0,0.1032028469750889,500.0245053768158,400.0,0.0,68.63798475265503,855.0,0.0994152046783625,500.0115349292755,,,,954.4999999999992,1.6473774909973145,905.2243144531652,103.71607995033264,686,0.0007791519165039,674,0.0171928405761718,830,0.0127205848693847
17770689,83,400,245.0,0.0,0.4673011302947998,88.0,0.0,0.0860702991485595,243.0,0.0,0.13435959815979,131.0,0.0,0.2577879428863525,245.0,0.0582053661346435,245.0,0.0663669109344482,225,0.0007600784301757,180,0.0171093940734863,241,0.0043356418609619
24636631,83,544,294.0,0.0,0.5173590183258057,136.0,0.0,0.1604435443878173,293.0,0.0,0.6160972118377686,183.0,0.0,0.3540120124816894,297.17857142857144,0.1109330654144287,297.11633663366337,0.1460614204406738,274,0.0007669925689697,226,0.0145988464355468,290,0.0045692920684814
26585095,83,614,397.0,0.0,0.1383485794067382,84.0,0.0,0.4858937263488769,392.0,0.0,0.0615561008453369,173.0,0.0,0.6910319328308105,397.5,0.1032757759094238,397.5,0.1188580989837646,339,0.0007894039154052,264,0.0135309696197509,372,0.0063798427581787
42522911,83,299,178.0,0.0,0.0440049171447753,76.0,0.0,0.0656831264495849,173.0,0.0,0.0492212772369384,120.0,0.0,0.1928076744079589,178.0,0.0387496948242187,178.0,0.0449540615081787,162,0.000770092010498,148,0.0157394409179687,175,0.0031628608703613
66841215,83,545,307.0,0.0,0.2527034282684326,242.0,0.0,0.0900409221649169,278.0,0.0,0.5430850982666016,273.0,0.0,0.2110505104064941,309.0,0.0769307613372802,308.2183908045977,0.1513259410858154,227,0.0007731914520263,253,0.0117597579956054,263,0.0060460567474365
168537920,83,1132,530.0,0.0452830188679245,500.0390348434448,275.99999999999864,0.0,16.66248607635498,529.0,0.0623818525519848,500.0197863578797,,,,587.0,0.821345329284668,558.0949385398152,20.496662616729736,463,0.0007820129394531,358,0.0152702331542968,512,0.0105979442596435
11784842,84,656,384.0,0.0,0.1714310646057129,272.0,0.0,0.0556473731994628,345.0,0.0,23.02829575538636,329.0,0.0,0.2314226627349853,384.0,0.1509296894073486,384.0,0.164119005203247,279,0.0007808208465576,342,0.0113835334777832,319,0.0071735382080078
14917050,84,977,560.0,0.0,0.4286861419677734,356.0,0.0,0.0759272575378418,504.0,0.0178571428571428,500.01697278022766,485.0,0.0,0.1981515884399414,559.9999999999999,0.450580358505249,559.9999999999999,0.4848618507385254,426,0.000779390335083,512,0.0147368907928466,468,0.0057742595672607
39157827,84,406,238.0,0.0,0.0632557868957519,112.0,0.0,0.0939266681671142,232.0,0.0,0.2360162734985351,168.0,0.0,0.2243168354034423,238.0,0.0534868240356445,238.0,0.0626049041748046,206,0.0007781982421875,183,0.0132668018341064,225,0.0041022300720214
73443014,84,1092,561.0,0.0,57.54738712310791,330.0,0.0,0.0815625190734863,541.0,0.0147874306839186,500.0121734142304,370.0,0.0,0.1898376941680908,572.6193762518617,1.81547212600708,570.8630934203638,4.484589099884033,462,0.0008075237274169,442,0.0187392234802246,506,0.0105834007263183
80479756,84,582,361.0,0.0,0.093069314956665,132.0,0.0,0.3280057907104492,351.0,0.0,0.1038277149200439,178.0,0.0,0.3605413436889648,361.0,0.0787305831909179,361.0,0.0900039672851562,299,0.0007896423339843,277,0.0159885883331298,347,0.007552146911621
